ID,Name,Email,PhoneNumber,Age,Country,Salary,JoiningDate
1,Name_1,user1@example.com,917950753682.0,42,India,169612,2022-10-26
2,Name_2,user2@example.com,Unavailable,58,Unknown,90328,2020-06-13
3,Name_3,user3@example.com,915573941509.0,34,Unknown,34916,2022-11-11
4,Name_4,user4@example.com,915933665735.0,20,Australia,82894,2022-11-02
5,Name_5,user5@example.com,916565815870.0,39,Canada,47647,2023-07-11
6,Name_6,user6@example.com,911953285215.0,19,Canada,154102,2022-04-21
7,Name_7,user7@example.com,915587509976.0,54,Unknown,109386,2021-11-21
8,Name_8,user8@example.com,913569046553.0,25,USA,70357,2022-06-15
9,Name_9,user9@example.com,911779327679.0,58,USA,106386,2025-01-04
10,Name_10,user10@example.com,Unavailable,35,UK,140636,2023-04-04
11,Name_11,user11@example.com,Unavailable,59,Australia,100832,2023-05-19
12,Name_12,user12@example.com,Unavailable,40,USA,75975,2022-08-13
13,Name_13,user13@example.com,915166340650.0,50,USA,35695,2023-06-26
14,Name_14,user14@example.com,911363198917.0,40,USA,62634,2023-07-18
15,Name_15,user15@example.com,915490487647.0,56,Unknown,59739,2022-02-17
16,Name_16,user16@example.com,914473512621.0,42,Unknown,111102,2023-05-22
17,Name_17,user17@example.com,912637633347.0,60,UK,113631,2021-09-27
18,Name_18,user18@example.com,Unavailable,47,Canada,110836,2023-04-27
19,Name_19,user19@example.com,913998896189.0,48,India,68476,2021-10-13
20,Unknown,missing@email.com,919523792761.0,18,USA,157558,2020-06-08
21,Name_21,user21@example.com,Unavailable,28,India,58999,2022-09-15
22,Name_22,user22@example.com,912897784584.0,19,India,171011,2021-09-24
23,Name_23,missing@email.com,911093140730.0,49,Canada,34862,2020-02-03
24,Name_24,missing@email.com,912509655119.0,38,USA,67131,2020-06-25
25,Name_25,user25@example.com,919760611434.0,42,Unknown,121141,2023-04-26
26,Name_26,user26@example.com,916944280811.0,23,Australia,173232,2020-07-20
27,Name_27,user27@example.com,917379531431.0,52,Canada,187500,2023-10-05
28,Name_28,user28@example.com,Unavailable,39,USA,183732,2022-10-01
29,Unknown,user29@example.com,917960658205.0,40,UK,195735,2023-11-03
30,Name_30,user30@example.com,Unavailable,39,USA,143636,2025-01-04
31,Name_31,user31@example.com,Unavailable,40,USA,184822,2021-01-15
32,Name_32,missing@email.com,Unavailable,51,Canada,42284,2022-01-17
33,Name_33,missing@email.com,911811570802.0,41,UK,127114,2023-03-07
34,Name_34,user34@example.com,918983704680.0,40,Canada,146383,2022-04-10
35,Name_35,user35@example.com,918906064412.0,50,Unknown,119220,2023-08-02
36,Name_36,user36@example.com,915855117028.0,18,UK,198757,2023-12-27
37,Name_37,user37@example.com,913028989162.0,28,UK,97948,2020-05-05
38,Name_38,user38@example.com,915923273145.0,43,USA,111102,2021-12-16
